Alabama,Holcim (US) Inc,Illinois,723,1350,,1409,1406,1377,1424,1484,Indiana,805,1283,,1198,1393,981,1224,1427,Ohio,987,1441,,1367,1596,1179,1503,1566,West Virginia,949,1373,,1334,1278,1513,1434,1566,Virginia,790,1310,,1486,1470,1587,1463,1407,North Carolina,609,1316,,946,1204,1084,1169,1063,Georgia,302,710,,546,775,428,586,892,Florida,58,959,,671,1187,849,820,822,Mississippi,28,536,,321,107,635,172,86,Arkansas,399,896,,737,1037,988,1056,767,Missouri,626,1313,,1416,1108,1110,1286,1410,,,,
,CEMEX SOUTHEAST LLC DEMOPOLIS PLANT,,510,1139,,1213,1210,1180,1228,1288,,585,1062,,947,1142,730,973,1176,,772,1234,,1116,1345,928,1252,1315,,780,1192,,1095,1036,1274,1193,1315,,592,1205,,1353,1337,1373,1330,1274,,424,1181,,813,1071,951,1036,930,,249,658,,415,649,303,460,730,,170,1083,,774,1290,952,923,925,,54,398,,238,348,421,233,321,,319,765,,654,946,897,965,550,,426,1144,,1159,860,893,1038,1220,,,,
,ARGOS CEMENT LLC. - ROBERTA PLANT,,466,1098,,1113,1172,1142,1190,1250,,521,978,,818,1012,601,844,1046,,675,1130,,986,1216,798,1123,1185,,652,1079,,953,897,1133,1053,1186,,482,1093,,1212,1196,1232,1189,1132,,310,1068,,671,930,810,895,788,,144,571,,273,510,236,409,675,,235,1071,,701,1217,879,850,852,,142,512,,407,479,415,402,458,,395,807,,646,940,891,959,544,,419,1152,,1153,852,887,1032,1214,,,,
,HM Cement Southeast LLC,,430,1092,,1091,1150,1120,1167,1227,,474,927,,796,990,579,821,1024,,622,1077,,964,1193,776,1101,1163,,600,1028,,906,850,1085,1006,1164,,429,1048,,1154,1138,1184,1131,1074,,260,1027,,614,872,752,837,731,,112,574,,215,453,224,351,617,,283,1097,,771,1287,950,920,973,,159,555,,404,514,392,400,522,,375,805,,624,918,869,937,522,,399,1132,,1131,830,864,1010,1192,,,,
,NATIONAL CEMENT COMPANY INC.,,427,1051,,1114,1179,1149,1197,1257,,459,900,,819,1013,608,844,1047,,588,1041,,950,1180,762,1087,1150,,555,988,,862,806,1041,962,1120,,391,1006,,1125,1109,1140,1102,1063,,219,986,,585,843,723,808,702,,73,556,,186,424,238,322,588,,305,1091,,742,1258,921,891,944,,192,597,,451,562,440,447,569,,398,829,,671,965,916,984,569,,412,1141,,1178,859,912,1057,1239,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Chicago,Aurora,Joliet,Naperville,Rockford,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Indianapolis"," 	Fort Wayne",Evansville," 	Fishers",South Bend,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Columbus,Cleveland,Cincinnati,Toledo,Akron,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Charleston",Huntington,Morgantown," 	Parkersburg"," 	Wheeling",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Virginia Beach"," 	Chesapeake",Arlington," 	Norfolk"," 	Richmond",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Charlotte,Raleigh," 	Greensboro",Durham," 	Winston-Salem",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Atlanta"," 	Augusta-Richmond County"," 	Columbus",Macon-Bibb County," 	Savannah",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Jacksonville"," 	Miami"," 	Tampa"," 	Orlando"," 	St. Petersburg",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,"	Jackson","	Gulfport","	Southaven","	Hattiesburg","	Biloxi",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Little Rock,Fayetteville,Fort Smith,Springdale,Jonesboro,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Kansas City,"	St. Louis",Springfield,"	Columbia","	Independence",,,,
Kentucky,KOSMOS CEMENT CO,Illinois,157,639,,519,573,531,556,662,Indiana,1,431,,224,419,190,250,453,Ohio,152,634,,393,622,205,529,592,West Virginia,286,724,,420,347,670,503,592,Virginia,254,903,,1098,1101,957,1086,929,North Carolina,407,977,,846,927,799,892,760,Georgia,340,911,,605,843,770,748,1014,Florida,783,1514,,1168,1684,1347,1317,1369,Mississippi,396,942,,930,1050,608,936,1059,Arkansas,408,923,,814,1030,1019,1013,604,Missouri,308,894,,845,447,792,647,829,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Chicago,Aurora,Joliet,Naperville,Rockford,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Indianapolis"," 	Fort Wayne",Evansville," 	Fishers",South Bend,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Columbus,Cleveland,Cincinnati,Toledo,Akron,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Charleston",Huntington,Morgantown," 	Parkersburg"," 	Wheeling",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Virginia Beach"," 	Chesapeake",Arlington," 	Norfolk"," 	Richmond",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Charlotte,Raleigh," 	Greensboro",Durham," 	Winston-Salem",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Atlanta"," 	Augusta-Richmond County"," 	Columbus",Macon-Bibb County," 	Savannah",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Jacksonville"," 	Miami"," 	Tampa"," 	Orlando"," 	St. Petersburg",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,"	Jackson","	Gulfport","	Southaven","	Hattiesburg","	Biloxi",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Little Rock,Fayetteville,Fort Smith,Springdale,Jonesboro,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Kansas City,"	St. Louis",Springfield,"	Columbia","	Independence",,,,
Tennessee,SIGNAL MOUNTAIN CEMENT CO,Illinois,357,942,,921,974,1011,958,1119,Indiana,324,759,,626,820,470,652,855,Ohio,420,870,,759,988,571,895,958,West Virginia,399,822,,671,614,850,771,928,Virginia,225,843,,1040,1043,949,1028,872,North Carolina,94,869,,565,767,640,732,600,Georgia,13,609,,191,430,356,334,600,Florida,456,1192,,755,1270,933,904,956,Mississippi,252,743,,629,739,569,625,751,Arkansas,399,858,,775,1069,1020,1088,673,Missouri,407,1098,,1119,721,923,921,1103,,,,
,CEMEX CONSTRUCTION MATERIALS ATLANTIC LLC,,411,928,,868,921,879,904,1010,,291,708,,573,670,530,592,794,,290,721,,590,819,402,726,789,,229,651,,506,445,685,602,763,,66,700,,876,878,784,863,707,,52,717,,383,602,475,568,436,,116,631,,341,486,506,483,678,,595,1241,,904,1420,1083,1053,1105,,411,913,,790,900,638,785,912,,523,1007,,844,1138,1089,1157,742,,512,1157,,1179,781,983,981,1163,,,,
